eng,french
i dont have time for a vacation this year,Je nai pas le temps de partir en vacances cette année
you look very pale,Tu as lair très pâle
ill do as you advise,Je ferai comme tu mas conseillé
you look kind of down,Tu as lair déprimé
could i please have one more can of beer,Puisje avoir encore une canette de bière sil vous plaît
how did you come up with that answer,Comment êtesvous parvenu à cette réponse
the check please,La note sil vous plaît
is it near here,Cest près dici
were going tomorrow,Nous partons demain
i can tell youre upset,Je peux voir que vous êtes en colère
im sorry to bother you so often,Je suis désolée de vous ennuyer si souvent
people no longer consider it strange for men to let their hair grow long,Les gens ne trouvent plus étrange que des hommes se laissent pousser les cheveux
lets not do anything that might upset tom,Ne faisons rien qui puisse contrarier Tom
he may come and see us tonight,Il se peut quil vienne nous voir ce soir
whens this supposed to happen,Quand estce supposé survenir
one three and five are odd numbers,1 3 et 5 sont des nombres impairs
the traffic lights were all red,Tous les feus étaient au rouge
it was freezing,Il faisait un froid glacial
does the applicant have suitable abilities to carry out the job,Le candidat atil les capacités qui conviennent pour mener à bien le travail
be punctual,Soyez ponctuels
this is todays newspaper,Cest le journal daujourdhui
we all have our secrets,Nous avons tous nos secrets
if you take this medicine youll feel a lot better,Si vous prenez ce remède vous vous sentirez beaucoup mieux
can i have something to eat,Puisje avoir quelque chose à manger
it hardly ever snows here in the winter,Il neige à peine lhiver ici
were experienced,Nous disposons dexpérience
i see tears in your eyes,Je vois des larmes dans tes yeux
he was obviously drunk,Il était manifestement saoul
what a shame,Quelle honte
youre the only one for me now,Tu es la seule pour moi désormais
a dog will bark at strangers,Un chien aboiera sur les étrangers
saying you cant do the job because youre too busy is just a cop out,Dire que vous ne pouvez pas faire le travail parce que vous êtes trop occupée est une excuse bidon
this is his,Cest la sienne
were going north,Nous nous dirigeons vers le nord
hes a bit naive,Il est un peu naïf
did anybody see what happened,Qui que ce soit atil vu ce qui sest produit
how is this machine operated,Comment manœuvreton cette machine
tom loved you,Tom ta aimé
butter and cheese are made from milk,Le beurre et le fromage sont faits avec du lait
he is only a child,Il nest quun enfant
what a bad movie,Quel navet
about how much will i have to pay for all the treatments,À peu près combien devraije payer pour tous les traitements
let me know as soon as you know,Faisle moi savoir dès que tu le sais
how did you celebrate your birthday,Comment astu fêté ton anniversaire
he succeeded in solving the problem,Il est parvenu à résoudre le problème
youre not very tidy,Vous nêtes pas très ordonnés
i read a lot of novels,Jai lu de nombreux romans
ill check,Je vérifierai
i fixed it,Je lai réparé
tom is wearing flipflops,Tom porte des tongs
she is always at the bottom of the class,Elle est toujours en queue de classe
where is the ticket office,Où est le guichet
toms annoyed,Tom est agacé
i am very sensitive to heat,Je suis très sensible à la chaleur
the cup broke,La coupe sest brisée
i like watching people,Jaime regarder les gens
i dont like either tea or coffee,Je naime ni le thé ni le café
that was our plan,Cétait notre plan
i cant thank you enough for the help youve given me,Je ne sais assez te remercier pour laide que tu mas fournie
i really wanted to go,Je voulais vraiment y aller
she types well,Elle tape bien
dont ever make me wait again,Ne me faites plus jamais attendre
we had to call off the game because of rain,Nous dûmes annuler la partie à cause de la pluie
my father told me where to go,Mon père m’a indiqué où me rendre
dont eat between meals,Ne mange pas entre les repas
i want a martini,Je veux un martini
he will be back in a day or two,Il sera de retour dans un jour ou deux
i gave it to the little boy,Je lai donné à ce petit garçon
whats the golden rule,Quelle est la règle dor
youre all against me,Vous êtes toutes contre moi
tom is a pediatrician,Tom est pédiatre
whatre you doing with my car,Questce que tu fais avec ma voiture
thats right,Cest ça
i like swimming but i dont like to swim here,Jaime nager mais je naime pas nager ici
thats the one thing i cant do,Cest la seule chose que je ne puisse faire
tom said he was starving,Tom a dit quil était affamé
do you like beer,Estce que tu aimes la bière
youre going to regret this,Vous allez le regretter
lets figure out a better way to do this,Trouvons un meilleur moyen de faire ceci
the book is out of print,Louvrage est épuisé
they dont make em like they used to,Elles ne les font plus ainsi quelles les faisaient
i knew youd be here,Je savais que tu serais ici
british english differs from american english in many ways,Langlais britannique se distingue sur bien des points de langlais américain
are you deaf,Estu sourd
in the fall many birds head for the south,À lautomne beaucoup doiseaux migrent vers le sud
theyre staring at you,Ils vous regardent
i share your feelings,Je partage vos sentiments
i love books,Jadore les livres
i was playing a game when i felt an earthquake,Jétais en train de jouer quand jai senti un tremblement de terre
tom parked his car behind the building,Tom a garé sa voiture derrière limmeuble
are you sure you have the right address,Vous êtes sûr davoir la bonne adresse
you just made a very big mistake,Tu viens de commettre une énorme erreur
may i move to the other side now,Puisje me déplacer de lautre côté maintenant
there is no shortage of ideas,Ce ne sont pas les idées qui manquent
what country are you from,De quel pays vienstu
this is a comfortable chair,Cest une chaise confortable
tom looked really angry,Tom parut furieux
you are crazy,Tu es cinglé
you dont have to be so sarcastic,Vous nêtes pas obligée dêtre sarcastique
my mom yells at me all the time for no reason,Ma mère me crie dessus tout le temps sans raison
tom is always sleeping,Tom dort toujours
circumstances forced us to put off the meeting,Les circonstances nous ont forcés à remettre la réunion à plus tard
are you going to the concert tonight,Allezvous au concert ce soir
do you need money,Astu besoin dargent
we must pay the tax,Nous devons payer la taxe
how do you think this passage would sound on the accordion,Comment pensezvous que ce passage sonnerait à laccordéon
im betterlooking than tom,Je suis plus beau que Tom
youre forgetful,Tu es oublieuse
do you like oysters,Appréciezvous les huîtres
how many fingers am i holding up,Combien de doigts
i know all about you,Je sais tout de toi
do you have something to tell me,Estce que tu as quelque chose à me dire
is it really so terrible,Estce vraiment si terrible
why dont we start at the beginning,Pourquoi ne commençonsnous pas par le début
id cut down those trees if i were you,Jabattrais ces arbres si jétais vous
get your coat,Prends ton manteau
tom didnt see it,Tom ne la pas vue
theyre mistaken,Ils se trompent
its easy,Cest simple
they were soldiers,Elles étaient soldats
i wanted to see what would happen,Je voulais voir ce qui arriverait
he came to tokyo at the age of three,Il est arrivé à Tokyo à trois ans
i wish id been born a canadian,J’aurais voulu naître canadien
have you been here all day,Astu été là toute la journée
hang your jacket on the hook by the door,Pose ta veste sur le crochet près de la porte
it rained for an entire week,Il a plu pendant toute la semaine
he is not as lazy a student as you think,Ce nest pas un étudiant aussi paresseux que vous le pensez
youre fascinating,Tu es fascinante
i dont feel up to running to the station,Je nai pas envie de courir à la gare
dont tell me let me guess,Ne me dis pas Laissemoi le deviner
even i cant believe that,Même moi je narrive pas à le croire
im an extremely humble person,Je suis une personne extrêmement humble
you cant handle it,Tu ne sais pas ty prendre
i dont hear barking,Je nentends pas daboiement
please turn left at the next light,Tournez au prochain feu à gauche sil vous plaît
i did this for you,Je lai fait pour vous
tom came 30 minutes late,Tom est arrivé 30 minutes en retard
would you mind if i swam in your pool,Verraistu un inconvénient à ce que je nage dans ta piscine
she warned the children not to play on the street,Elle avertit les enfants de ne pas jouer dans la rue
you owe it to yourself to do it,Vous vous devez de le faire
ive got better things to do than to sit here listening to your gossip,Jai mieux à faire que dêtre assis là à écouter tes ragots
did you phone me,Estce vous qui mavez appelée
he got the first prize,Il a décroché le premier prix
fresh produce is sold at an openair market,Les produits frais sont vendus dans un marché en plein air
tom is rude,Tom est impoli
are you afraid of a little girl,Astu peur dune petite fille
how can i make him stop,Comment puisje faire quil sarrête
what can you do about it,Que pouvezvous y faire
i miss you a lot,Vous me manquez beaucoup
i didnt know whether id be permitted to do that or not,Je ne savais pas si jaurais la permission de le faire ou pas
tom took everything,Tom a tout pris
what they wanted was a man like himself,Ce quelles voulaient cétait un homme comme lui
i see why you dont want to go there,Je vois pourquoi tu ne veux pas ty rendre
dont tell me that again,Ne me redites plus cela
i wasnt there at that time,Je nétais pas làbas à cette époque
do i look dead to you,Aije lair mort selon vous
youll find a rake in the shed,Tu trouveras un râteau dans labri de jardin
they know tom,Elles connaissent Tom
you can make your own,Vous pouvez faire le vôtre
i feel like someone is watching me,Jai le sentiment que quelquun mobserve
ill postpone my trip to scotland until its warmer,Je repousserai mon voyage en Écosse jusquà ce quil fasse plus chaud
he made a mistake,Il a commis une erreur
im still shopping around,Je fais encore mon marché
do you know what day it is today,Savezvous le quantième est aujourdhui
i keep having this dream about drowning,Jai constamment ce rêve de me noyer
i had my bicycle stolen,Mon vélo sest fait voler
you dont have to answer,Vous nêtes pas obligé de répondre
how did you get here,Comment êtesvous parvenus ici
did you know this was coming down,Savaistu que ça allait te tomber dessus
the cat is sitting on top of the table,Le chat est assis sur le dessus de la table
the only person who hasnt paid is you,La seule personne qui na pas payé cest toi
i wish i knew what to say,Jaimerais savoir quoi dire
tom owes mary a lot of money,Tom doit beaucoup dargent à Mary
they gave up,Ils ont abandonné
you werent there were you,Tu nétais pas là si
well be back after the break,Nous reviendrons après la pause
unfortunately that hasnt been possible,Malheureusement cela na pas été possible
dont tell tom youre a cop,Ne dis pas à Tom que tu es policier
theyre escaping,Elles sévadent
youre not supposed to be in here,Tu nes pas censé être làdedans
it wasnt that big,Elle nétait pas si grande
its very kind of you to invite me to your birthday party,Cest très gentil à vous de minviter à votre fête danniversaire
i wanted to talk to you about something,Je voulais te parler à propos de quelque chose
are you dressed,Estu habillé
can i come some other time,Puisje venir à un autre moment
i dont have a tattoo,Je nai pas de tatouage
how come ive never seen you here before,Comment se faitil que je ne vous ai jamais vue ici auparavant
i have to clean the bathroom,Je dois nettoyer la salle de bain
im new to the neighborhood,Je suis nouveau dans le voisinage
you live here alone dont you,Vous vivez seule ici nestce pas
stand still,Pas un geste
i didnt feel like cooking,Je navais pas le cœur à cuisiner
can you believe it hes even lazier than me,Pouvezvous le croire Il est encore plus fainéant que moi
he walked quietly,Il marchait tranquillement
the top is turning clockwise,La toupie tourne dans le sens des aiguilles dune montre
there was no immediate panic,Il ny eut pas de panique immédiate
my sisters hair reaches to her shoulders,Les cheveux de ma sœur lui arrivent aux épaules
it looks like its working again,Ça semble fonctionner à nouveau
im going to the library to study,Je vais à la bibliothèque pour étudier
its garbage,Cest de la daube
his son is a genius,Son fils est un génie
i think you might have a drinking problem,Je pense quil se pourrait que tu aies un problème dalcool
what does your brother do,Que fait ton frère
he remembers writing to her every week,Il se souvient lui avoir écrit toutes les semaines
its monday,Nous sommes lundi
thank you very much for all you have done,Merci beaucoup pour tout ce que vous avez fait
how can you say that,Comment peuxtu dire ça
can i eat my lunch here,Puisje prendre ici mon déjeuner
it keeps getting harder and harder,Ça devient de plus en plus difficile
he was a weak and delicate child,Cétait un enfant chétif et délicat
there was a sign saying keep off the grass,Il y avait un panneau disant Pelouse interdite
youre tough,Tu es dur
ill call you right after the meeting,Je vous appellerai juste après la réunion
maybe he likes you too,Peutêtre vous apprécietil également
i helped out,Jai donné un coup de main
this is your fault,Cest de ta faute
check out what ive been up to,Regardez ce que jai concocté
whatll you have to drink,Que voulezvous boire
i value your candor,Japprécie votre franchise
i have a complaint,Jai une plainte
you said you were busy,Vous avez dit que vous étiez occupée
the water is hot,Leau est brûlante
im sorry for what i said i was out of line,Je suis désolée davoir dit ce que jai dit Jai dérapé
its important that you hear this,Il est important que vous entendiez cela
tom was nowhere to be seen,Tom nétait visible nulle part
she suddenly lost consciousness,Elle a soudainement perdu connaissance
i dont know how but i did it,Jignore comment mais je lai fait
how much time do you spend shaving every day,Combien de temps passezvous chaque jour à vous raser
sometimes pictures can fool people,Parfois des images peuvent tromper les gens
please answer me,Sil te plaît répondsmoi
is it genuine,Estce véritable
dont forget to spend a little time looking over your notes before the exam,Noublie pas de passer un peu de temps à parcourir tes notes avant lexamen
he always speaks of the government with contempt,Il parle toujours du gouvernement avec mépris
we must alert the police,Nous devons prévenir la gendarmerie
many economists are ignorant of that fact,De nombreux économistes ignorent ce fait
tom wants mary to keep him company,Tom veut que Mary lui tienne compagnie
tom ate my lunch,Tom mangea mon déjeuner
the goods arrived yesterday,Les marchandises sont arrivées hier
the greens are against everything,Les verts sont contre tout
youre grown up now,Vous êtes des grands maintenant
whats the weather forecast for tomorrow,Quelles sont les prévisions météo pour demain
go brush your teeth,Allez vous laver les dents
he was not happy about it,Il nen était pas heureux
tom seems jealous,Tom semble jaloux
he had words with his friend and then struck him,Il eut des mots avec son ami et le frappa alors
wont you have some fruit,Ne prendriezvous pas des fruits
there are people who think pineapples grow underground,Il y a des gens qui croient que lananas pousse sous terre
i think thats a good plan,Je pense que cest un bon plan
ill return to this later,Plus dinformations à ce sujet plus tard
arent you a little young to be doing this,Nêtesvous pas un peu jeune pour faire ceci
i was conscious that something was missing,Javais conscience quil manquait quelque chose
id be depressed if they asked me to quit the team,Je serais déprimée sils me demandaient de quitter léquipe
why did you buy a car,Pourquoi astu acheté une voiture
these shoes fit my feet,Ces chaussures vont à mon pied
you cant have both,Tu ne peux pas avoir les deux
he came by bus,Il est venu en bus
i wash clothes by hand,Je lave les vêtements à la main
tom didnt work last monday,Tom na pas travaillé lundi dernier
they diverted the river to supply water somewhere else,Ils ont détourné la rivière pour fournir de leau à un autre endroit
tom is your best friend isnt he,Tom est ton meilleur ami nestce pas
i love winning,Jadore lemporter
i recently had surgery,Jai récemment subi une opération chirurgicale
tom decided to become a cook,Tom décida de devenir cuisinier
what a wonderful party,Quelle merveilleuse fête
keep it under guard,Gardezle sous surveillance
who knows,Qui sait
what else did you eat,Quavezvous mangé dautre
you learn quickly,Vous apprenez rapidement
dont make me come back here,Ne me fais pas revenir ici
i dont know if i should tell you,Cest moi qui ignore si je devrais vous le dire
my tv has quit working,Mon téléviseur a cessé de fonctionner
id like to be able to make something like this too,Jaimerais pouvoir faire quelque chose comme ça aussi
he was wounded in the battle,Il a été blessé dans la bataille
id like you to tell me what happened,Jaimerais que tu me dises ce qui sest passé
what happened to all those people,Questil arrivé à tous ces gens
this river is deepest here,Cette rivière est ici à sa plus grande profondeur
tom giggled again,Tom a de nouveau gloussé
im busy so i cant go,Je suis occupé alors je ne peux pas y aller
just who are you,Qui êtesvous exactement
could you please tell me your height and weight,Pourraistu mindiquer ta taille et ton poids je te prie
i didnt see your car outside,Je nai pas vu votre voiture dehors
iron is a very useful metal,Le fer est un métal très utile
youre killing me,Tu me tues
not a sound was heard,Pas un son ne pouvait être entendu
youve got to learn to be careful,Vous devez apprendre à être attentive
i cant put up with that loud noise,Je ne peux pas supporter ce bruit fort
tom calls mary every night,Tom appelle Mary tous les soirs
were not very hungry yet,Nous navons pas encore très faim
she asked them to take their shoes off,Elle leur demanda de retirer leurs chaussures
she let the secret out,Elle a divulgué le secret
can i be of any service to you,Puisje vous être utile à quoi que ce soit
many runners passed out in the heat,De nombreux coureurs ont perdu connaissance en raison de la chaleur
continue your story,Poursuis ton histoire
let me do that,Laissezmoi faire ça
who is the gentleman he is speaking to,Qui est le monsieur avec lequel il sentretient
i dont like shellfish,Je naime pas les coquillages
she taught him everything she knew,Elle lui a enseigné tout ce quelle savait
well all be dead eventually,Nous serons tous morts à la fin
remain seated,Reste assis
ill bring lunch,Japporterai à déjeuner
he asked me what i needed,Il ma demandé ce dont javais besoin
i was ready to do it,Jétais prêt à le faire
tom and mary bought their grandson a bike for christmas,Tom et Marie ont acheté un vélo à leur petitfils pour Noël
thank you for your answer,Merci de ta réponse
the young man put out his hand and i shook it,Le jeune homme tendit la main et je la lui serrai
go straight down this street and turn right at the third light,Allez tout droit dans cette rue et au troisième feu tournez à droite
the choice is entirely yours,Cest à toi de choisir
this is easy,Cest simple
nobody can see this movie without being moved,Personne ne peut voir ce film sans être ému
all in all we had a good time at the party,Toutes choses égales nous avons passé du bon temps à la fête
do you have earrings on,Portezvous des boucles doreille
its sweltering,Il fait une chaleur étouffante
ill do whatever i can to encourage tom to stay in school,Je ferai tout ce que je peux pour encourager Tom à ne pas quitter lécole
im sorry if i disturbed you,Je suis désolé si je tai dérangé
i shouldve known it was a scam,Jaurais dû savoir que cétait une arnaque
her honesty is beyond question,Son honnêteté ne peut être mise en doute
she wasnt dancing with him then,Elle ne dansait alors pas avec lui
i wish that i could speak french as well as tom,Jaimerais pouvoir parler français aussi bien que Tom
when i was in school lefthanded kids were forced to write with their right hands,Lorsque jétais à lécole les enfants gauchers étaient forcés décrire de la main droite
tom is very friendly,Tom est très amical
whats your favorite energy drink,Quelle est votre boisson énergisante préférée
i feel vulnerable,Je me sens vulnérable
who do you know here,Qui connaistu ici
is this time different,Cette fois estelle différente
i did everything i could,Jai fait tout ce que jai pu
have you eaten yet,Estce que tu as déjà mangé
its too late to shut the stable door after the horse has bolted,Une fois que le cheval sest enfui cest trop tard pour fermer la porte de lécurie
this vending machine is out of order,Le distributeur est en panne
the players on this team are all giants,Les joueurs de cette équipe sont tous des géants
i dont think ive slept enough,Je ne crois pas avoir assez dormi
i telephoned her at once,Je lui ai immédiatement téléphoné
have a nice day tom,Bonne journée Tom
i only wish that were possible,Je souhaiterais seulement que ce soit possible
he goes to bed at eight oclock,Il va au lit à huit heures
children are sometimes afraid of the dark,Les enfants ont parfois peu de lobscurité
i dont want him to touch me,Je ne veux pas quil maffecte
you must be very busy these days,Vous devez être très occupé ces joursci
tomorrow ill buy what i need,Demain jachèterai ce dont jai besoin
theres a rumor going around that she got a new job,Une rumeur circule quelle aurait un nouveau boulot
everybody in the car said they wanted to get out and stretch their legs,Tout le monde dans la voiture a dit quil voulait sortir et étirer ses jambes
its a quarter to two,Il est treize heures quarantecinq
do you want some of these fries,Voulezvous quelquesunes de ces frites
dinner is ready,Le dîner est prêt
dont touch it,Ne touche pas à ça
excuse me what time is it,Je vous prie de mexcuser quelle heure estil
glaciers around the world are melting,Les glaciers fondent tout autour du monde
tom is very grouchy today isnt he,Tom est très grognon aujourdhui nestce pas
who are you thinking about,À qui pensestu
right now i cant think of anything else,Actuellement je narrive pas à penser à quoi que ce soit dautre
ask tom again,Redemande à Tom
what are you scared of,De quoi avezvous peur
i was at work,Jétais au travail
do you still not understand,Ne comprendstu toujours pas
i feel guilty,Je me sens coupable
i know a shortcut,Je connais un raccourci
youve bought more stamps than necessary,Tu as acheté plus de timbresposte que nécessaire
its stuffy in here may i open a window,Cest étouffant ici Je peux ouvrir une fenêtre
i never told you to lie,Je ne tai jamais dit de mentir
tom says he doesnt like chocolate ice cream,Tom dit quil naime pas la glace au chocolat
whats your favorite dessert with strawberries,Quel est ton dessert favori aux fraises
everybody was disguised so i couldnt tell who was who,Tout le monde était déguisé donc je ne pourrais pas dire qui était qui
im in love with somebody else,Je suis amoureux de quelquun dautre
you need to stay there,Vous devez rester làbas
read whatever you like,Lis ce que tu veux
i was overwhelmed,Jétais submergée
he was in time for the last bus,Il est arrivé à temps pour le dernier bus
why exactly do you do that,Pourquoi faistu ça exactement
were going to play tennis,Nous allons jouer au tennis
more than 45 million americans live in poverty,Plus de quarantecinq millions daméricains vivent dans la pauvreté
if hed been there hed have told you to mind your manners,Sil avait été là il vous aurait dit de vous tenir
they were together,Elles étaient ensemble
be merciful,Soyez miséricordieuses
lets dance,Dansons
i bid against him,Je parie contre lui
your ideas are all out of date,Tes idées sont toutes dépassées
i really did that,Jai vraiment fait ça
i saw tom talking to mary,Jai vu Tom parler à Mary
you should have helped him with his work,Tu aurais dû laider dans son travail
how beautiful she is,Comme elle est belle
ill be happy to work with you,Je serai heureuse de travailler avec toi
i dont care who youre going with,Je me fiche de savoir avec qui vous allez
do you know why tom is laughing,Savezvous pourquoi Tom rit
we dont have a lot of trouble,Nous navons pas beaucoup dennuis
i knew it would be painful,Je savais que ce serait douloureux
take care of yourself dont get sick,Soignetoi Ne tombe pas malade
you were such a big help yesterday,Tu as été dune grande utilité hier
lets hope decency will prevail,Espérons que la décence lemportera
does everybody do that,Estce que tout le monde fait ça
i know you were born in boston,Je sais que tu es né à Boston
i used to do that as a kid,Je faisais ça enfant
can you at least try,Pouvezvous au moins essayer
tom is now three months old,Tom vient davoir trois mois
do you know why he put off his departure,Saistu pourquoi il a retardé son départ
youre not my girlfriend,Tu nes pas ma copine
tom swerved off the road to avoid hitting a dog,Tom a fait une embardée pour éviter un chien
she was on the verge of tears,Elle était au bord des larmes
dont be so impatient,Ne soyez pas tellement impatientes
its just a dream,Ce nest quun rêve
we have to sing at an old folks home today,Nous devons aller chanter dans une maison de retraite aujourdhui
he is over the hill you know,Ses meilleures années sont derrière lui tu sais
you have so much potential,Vous avez tellement de potentiel
thanks a lot for your help,Merci beaucoup pour ton aide
theyre just for you,Elles sont juste pour vous
this is a big project,Il sagit dun gros projet
tom wont admit that hes done anything wrong,Tom nadmettra pas quil a fait quelque chose de mal
i should have talked to you first about it,Jaurais dû vous en parler en premier
i only heard three chimes,Je nai entendu sonner que trois coups
i ran away in a hurry,Je suis parti en courant en toute hâte
do you think we should abandon ship,Pensestu que nous devrions abandonner le navire
i seldom eat at home,Je mange rarement chez moi
do come again,Revenez nous voir
how was boston,Comment cétait Boston
do you want to wait in the car,Estce que tu veux attendre dans la voiture
who has eaten all the cookies,Qui a mangé tous les cookies
if you want me to go ill go,Si vous voulez que jy aille jirai
report to the emergency room,Rapporte à la salle durgence
i dont have a bike,Je nai pas de vélo
it is absurd trying to persuade him,Il est absurde dessayer de le persuader
dont buy things on credit,Nachetez pas de choses à crédit
i need to find tom now,Jai besoin de trouver Tom maintenant
i had a promise to keep,Javais une promesse à tenir
translate the underlined part,Traduis la partie soulignée
all this is true,Tout cela est vrai
what you need is a friend,Ce quil vous faut cest un ami
my teeth are totally healthy and free of problems,Mes dents sont totalement en bonne santé et sans problèmes
he called his mother up from the airport,Il a appelé sa mère depuis laéroport
my bedroom is too small,Ma chambre est trop petite
im a woman and i dont think that its strange at all,Je suis une femme et je ne pense pas du tout que cest étrange
everybodys life is complicated,La vie de tout le monde est compliquée
now pay attention children,Maintenant faites attention les enfants
i was a volunteer for two afternoons,Jai été bénévole pendant deux aprèsmidis
someone was here,Quelquun était là
im really not supposed to do this,Je ne suis vraiment pas supposée faire ça
what does not kill me makes me stronger,Tout ce qui ne me tue pas me rend plus fort
it was a dark night,Cétait une nuit noire
the machine was too complicated for us to find out the cause of the trouble,La machine était trop compliquée pour que nous trouvions la cause du dérèglement
lets do our best again today,Faisons de nouveau de notre mieux aujourdhui
thank you well do our best,Merci Nous ferons de notre mieux
tom and i went to the same school,Tom et moi sommes allés dans la même école
i need a little help here,Il me faut un peu daide là
did tom call,Estce que Tom a appelé
whatre you doing,Questu en train de faire
she disliked him,Elle éprouvait pour lui une aversion
weve seen this happen too many times,Nous avons vu cela se produire bien trop souvent
do you plan to buy that car,Prévoistu de procéder à lacquisition de cette voiture
there are many earthquakes in japan,Il y a de nombreux tremblements de terre au Japon
what are we waiting for,Quattendonsnous
i thought id died and gone to heaven,Je pensais que jétais morte et que jétais allée au Paradis
its too early,Il est trop tôt
hang on,Attendez un peu
theyll think of something,Ils échafauderont quelque chose
tom cant forgive mary for what she did,Tom narrive pas à pardonner Marie pour son acte
i like you just the way you are,Je taime juste comme tu es
who would you like to speak to,Avec qui désireriezvous vous entretenir
my grandfather always sits in this chair,Mon grandpère sassoit toujours dans cette chaise
pour me a glass of wine,Versezmoi un verre de vin
i no longer need a loan,Je nai plus besoin dun prêt
she just laughed the matter off,Elle a juste éludé laffaire en riant
hes a foreign exchange student,Cest un étudiant étranger dun programme déchange
its not as bad as it seems,Ce nest pas aussi mauvais quil y paraît
tom looks like hes going to cry,On dirait que Tom est sur le point de pleurer
all the desk drawers were empty,Tous les tiroirs du bureau étaient vides
do you do this every day,Faistu cela chaque jour
toms french is perfect,Le français de Tom est parfait
i cant get in,Je ne parviens pas à y pénétrer
have you ever been kissed before,Taton jamais embrassée auparavant
what did it turn out to be,Que cela sestil révélé être
its a bunch of nonsense,Cest un tas de balivernes
a problem shared is a problem halved,Un problème partagé est réduit de moitié
i was going to do it anyway,Jallais le faire de toute façon
what are you guys drinking,Questce que vous buvez les mecs
i knew i shouldve stayed in boston,Je savais que jaurais dû rester à Boston
im tidy,Je suis ordonné
tom said that he wouldnt buy any of marys paintings,Tom a dit quil nachèterait aucun tableau de Mary
i believed that,Jy ai cru
i dont understand why i need to go to your house at midnight,Je ne comprends pas pourquoi il faut que jaille chez toi à minuit
the room is crawling with spiders,La pièce grouille daraignées
where can you buy books,Où peuton acheter des livres
im only going to show you once,Je ne vais te le montrer quune fois
last night we looked at the stars from the rooftop,La nuit dernière nous avons observé les étoiles depuis le toit
youre sick,Vous êtes malade
never tell anyone,Ne le dis jamais à qui que ce soit
i heard everything clearly,Jai tout entendu clairement
we need to do this right,Nous avons besoin de faire cela bien
tom climbed down the ladder,Tom est descendu de léchelle
im sorry i ruined your wedding,Désolé davoir gâché ton mariage
may i come in,Puisje entrer
we better be going,Nous ferions mieux dy aller
try not to be so tense,Essayez de ne pas être si tendue
how many have you killed,Combien en avezvous tué
can you supply me with everything i need,Pouvezvous me fournir tout ce dont jai besoin
i have so many questions for you,Jai tellement de questions pour toi
i think youre funny,Je pense que vous êtes marrante
tom called me from boston,Tom ma téléphoné de Boston
what were you studying last night,Questce que tu étudiais hier soir
i didnt get any of that,Je ny ai rien compris
the couple broke off their engagement,Le couple a rompu leurs fiançailles
the company announced hundreds of layoffs,Lentreprise annonça des centaines de mises à pied
his name is known to everyone in the town,En ville tout le monde connaît son nom
im sure that our team will win,Je suis sûr que notre équipe va gagner
i hope next year will be better,Jespère que lannée prochaine sera meilleure
you didnt warn me,Vous ne mavez pas averti
there is an urgent need for peace talks,On a un besoin urgent de pourparlers de paix
he walked past the house,Il passa devant la maison
you look good in those clothes,Tu as belle allure dans ces vêtements
i just couldnt take it anymore,Je nen pouvais simplement plus
they have us outgunned but well have the element of surprise,Ils ont une plus grande puissance de feu que nous mais nous bénéficierons de leffet de surprise
the elevators in this building are often out of order,Les ascenseurs de cet immeuble sont souvent en panne
are you sure you dont want anything to eat,Êtesvous sûres de ne rien vouloir manger
you talk too much he said,Tu parles trop ditil
i think its a possibility,Je pense que cest une possibilité
i just got there as fast as i could,Je my suis simplement rendue aussi vite que possible
you should ask tom what happened,Tu devrais demander à Tom ce quil sest passé
he must be a fool to talk like that,Il doit être fou pour parler ainsi
the wall is two meters thick,Le mur est épais de deux mètres
you dont sound entirely convinced,À vous entendre vous nêtes pas complètement convaincues
the dolphin and trainer communicated much better than we expected,Le dauphin et le dresseur communiquaient bien mieux que nous ne lespérions
unfortunately the report is true,Malheureusement le compterendu est vrai
come alone,Venez seul
she suggested that i should clean the bathroom,Elle suggéra que je devrais nettoyer la salledebain
he was desperate to escape,Il voulait désespérément séchapper
im going to miss my teammates,Mes coéquipiers vont me manquer
he has only six months to live,Il na que six mois à vivre
when spring comes they dig up the fields and plant seeds,À larrivée du printemps ils labourent les champs et les ensemencent
he tried harder to get good marks than i did,Il a travaillé plus dur que je ne lai fait pour obtenir des bonnes notes
they formed a swim team,Ce sont eux qui formèrent une équipe de nageurs
how much money did you spend in total,Combien dargent avezvous dépensé au total
dont ask,Ne demande pas
he gave me authority to fire them,Il ma autorisé à les virer
tom forgot to tell mary what needed to be done,Tom oublia de dire à Mary ce quil y avait à faire
i am pretty sure,Je suis relativement sûr
wed better get going,Nous ferions mieux dy aller
just try it out,Essaiele juste
the ship lowered its gangway after docking,Le navire abaissa sa passerelle après sêtre mis à quai
tom is quite capable of looking after himself,Tom est tout à fait capable de prendre soin de luimême
why didnt you believe me,Pourquoi ne mastu pas cru
i thought we talked about this already,Je pensais que nous avions déjà discuté de ça
we dont have all afternoon,Nous navons pas tout laprèsmidi
turn the page please,Tournez la page sil vous plaît
dont yell like that,Ne crie pas comme ça
ive been walking all day,Jai marché toute la journée
not feeling well i stayed home on that day,Ne me sentant pas bien je suis resté à la maison ce jourlà
everyone was hurt,Tout le monde a été blessé
you must be cautious,Il vous faut être prudente
youre not going to do it i hope,Tu ne vas pas le faire jespère
dont worry about that,Ne tinquiète pas pour ça
id like some water,Je voudrais un peu deau
he rolled up his shirt sleeves,Il remonta les manches de sa chemise
if it hadnt been for the storm i wouldve arrived sooner,Si ce navait été à cause de la tempête je serais arrivé plus tôt
